NBDATASETS	PROJECT	STREAM	PRODSTEP	DATATYPE	PROVENANCE	IDTOGROUP(GROUPID)	MEANNBFILES	MEANFILESIZE	ROUND(SUM(REPLICAS)/COUNT(*))
1	data12_8TeV	debugrec_crashed	merge	RAW	T0	/atlas/role=production	1	163672340	2
457	data12_8TeV	physics_MinBias	merge	NTUP_L1CALO	GP	/atlas/trig-daq/role=production	11	1600074157	1
124	data12_8TeV	physics_CosmicCalo	merge	NTUP_HECNOISE	GP	/atlas/role=production	21	830704	1
474	data12_8TeV	physics_JetTauEtmiss	merge	NTUP_L1CALO	GP	/atlas/trig-daq/role=production	1328	241814280020	1
285	data12_8TeV	physics_Egamma	merge	NTUP_JETMETFULL	GP	/atlas/perf-jets/role=production	5	14951869363	1
51	data12_8TeV	debugrec_hltacc	merge	NTUP_SUSYSKIM	GP	/atlas/phys-susy/role=production	1	2728051	1
1	data12_8TeV	physics_Muons	recon	ESD_TAUHH	GP	/atlas/phys-higgs/role=production	15	202172868	1
384	data12_8TeV	physics_Egamma	merge	DAOD_4LHSG2	GP	/atlas/phys-beauty/role=production	45	22837241293	2
250	data12_8TeV	physics_JetTauEtmiss	recon	log	AP	/atlas/role=production	2759	8641405802	1
898	data12_8TeV	physics_JetTauEtmiss	merge	NTUP_TOPJET	GP	/atlas/phys-top/role=production	567	219438340066	2
3	data12_8TeV	physics_EnhancedBias	recon	NTUP_TRIGCOSTEF	GP	/atlas/trig-hlt/role=production	1772	1175968725	1
239	data12_8TeV	physics_MinBias	merge	NTUP_SLIMSMQCD	GP	/atlas/phys-sm/role=production	3	2074902218	2
3	data12_8TeV	physics_EnhancedBias	recon	NTUP_TRIGRATEL2	GP	/atlas/trig-hlt/role=production	1772	396029713	1
253	data12_8TeV	physics_CosmicCalo	merge	AOD	AP	/atlas/role=production	6	4265114632	4
207	data12_8TeV	debugrec_hltrej	merge	NTUP_SUSY	GP	/atlas/phys-susy/role=production	1	15672897	1
1	data12_8TeV	physics_Egamma	merge	NTUP_4LHSG2	GP	/atlas/role=production	7	10812172368	1
1016	data12_8TeV	physics_Egamma	merge	NTUP_TOPEL	GP	/atlas/phys-top/role=production	194	90219855778	4
28	data12_8TeV	physics_L1Muon	merge	HIST	T0	/atlas/role=production	1	101419702	2
3	data12_8TeV	Zee_1tightPP	merge	RAW	GP	/atlas/role=production	2582	569068985532	2
287	data12_8TeV	physics_Egamma	merge	log	GP	/atlas/phys-top/role=production	600	10122843441	1
27	data12_8TeV	debugrec_crashed	recon	ESD	T0	/atlas/role=production	1	27531513	2
306	data12_8TeV	physics_JetTauEtmiss	merge	NTUP_TOPEL	GP	/atlas/phys-top/role=production	37	15157777362	2
418	data12_8TeV	physics_Muons	merge	DAOD_4LHSG2	GP	/atlas/phys-beauty/role=production	59	61479013435	3
3	data12_8TeV	physics_ZeroBiasOverlay	recon	ESD	T0	/atlas/role=production	159	128449891289	1
34	data12_8TeV	physics_IDCosmic	merge	HIST	T0	/atlas/role=production	1	31786361	2
217	data12_8TeV	physics_JetTauEtmiss	merge	NTUP_HECNOISE	GP	/atlas/det-larg/role=production	512	29380040	1
2	data12_8TeV	Pythia8_AU2CT10_jetjet_JZ1W_mufilter	merge	NTUP_TRIGBJET	GP	/atlas/trig-daq/role=production	200	561216574892	1
4	data12_8TeV	physics_Muons	merge	NTUP_COMMON	GP	/atlas/phys-susy/role=production	1615	387834343280	1
4	data12_8TeV	physics_Bphysics	merge	TAG	T0	/atlas/role=production	1	160785359	12
146	data12_8TeV	debugrec_hltrej	merge	NTUP_SMWZ	GP	/atlas/phys-sm/role=production	1	39337441	1
2	data12_8TeV	physics_Egamma	merge	NTUP_JETMET	GP	/atlas/phys-susy/role=production	141	319144322248	1
252	data12_8TeV	physics_MinBias	merge	DESD_SGLMU	AP	/atlas/role=production	4	30582428	4
2	data12_8TeV	physics_JetTauEtmiss	merge	NTUP_SMWZ	GP	/atlas/phys-susy/role=production	167	473067103454	1
248	data12_8TeV	physics_JetTauEtmiss	merge	DESDM_RPVLL	AP	/atlas/role=production	72	362428579311	5
2	data12_8TeV	physics_EnhancedBias	recon	NTUP_TRIG	GP	/atlas/trig-hlt/role=production	1273	15828284042	1
220	data12_8TeV	physics_Bphysics	merge	DAOD_JPSIMUMU	GP	/atlas/phys-beauty/role=production	53	160840797936	4
2	data12_8TeV	Zee_1tightPP	merge	HIST_HLTMONEF	GP	/atlas/trig-hlt/role=production	2	12762682	2
1	data12_8TeV	Zee_1tightPP	recon	NTUP_TRIG	GP	/atlas/trig-hlt/role=production	228	812882225	1
2	data12_8TeV	Zee_1tightPP	recon	log	GP	/atlas/trig-hlt/role=production	228	356577438	1
1	data12_8TeV	Zee_1tightPP	recon	ESD	GP	/atlas/trig-hlt/role=production	228	26615329507	1
256	data12_8TeV	debugrec_hltacc	merge	log	GP	/atlas/phys-higgs/role=production	1	7817102	1
2	data12_8TeV	physics_ALFA	recon	ESD	T0	/atlas/role=production	6098	6577393170002	2
240	data12_8TeV	physics_Egamma	recon	DESD_SGLEL	AP	/atlas/role=production	2731	164649993853	1
252	data12_8TeV	physics_MinBias	recon	DESD_MBIAS	AP	/atlas/role=production	439	56656026497	1
170	data12_8TeV	physics_CosmicMuons	recon	HIST	AP	/atlas/role=production	362	13360213343	1
1	data12_8TeV	physics_Egamma	merge	NTUP_SUSY	GP	/atlas/role=production	45	194475176821	1
2	data12_8TeV	physics_Egamma	recon	ESD	AP	/atlas/role=production	5167	12471523464079	1
1	data12_8TeV	physics_HadDelayed	recon	ESD	AP	/atlas/role=production	3918	11195358730990	1
742	data12_8TeV	physics_JetTauEtmiss	merge	HIST	AP	/atlas/role=production	19	3379503792	1
4	data12_8TeV	physics_MinBias	recon	log	GP	/atlas/det-indet/role=production	8	19552618	1
1	data12_8TeV	to201489_Jpsiee_tlPP	merge	RAW	GP	/atlas/role=production	726	12542407980	2
127	data12_8TeV	debugrec_hltacc	merge	AOD	AP	/atlas/role=production	1	5962030	5
2	data12_8TeV	physics_L1MinBias	merge	NTUP_TRIG	T0	/atlas/role=production	1	323500986	1
233	data12_8TeV	physics_CosmicMuons	merge	ESD	AP	/atlas/role=production	4	2818150798	1
4	data12_8TeV	debugrec_hltrej	merge	log	AP	/atlas/role=production	1	558068	1
2	data12_8TeV	physics_L1Muon	merge	TAG	T0	/atlas/role=production	1	29614369	13
1	data12_8TeV	physics_EnhancedBias	recon	AOD	GP	/atlas/role=production	1702	159691974967	1
3	data12_8TeV	physics_EnhancedBias	merge	NTUP_TRIG	T0	/atlas/role=production	24	15181961292	1
1	data12_8TeV	physics_EnhancedBias	recon	NTUP_TRIG	GP	/atlas/role=production	1702	23309587683	1
9	data12_8TeV	physics_JetTauEtmiss	merge	ESD	AP	/atlas/role=production	1325	9634705218468	1
20	data12_8TeV	debugrec_hltacc	merge	NTUP_TOP	GP	/atlas/phys-top/role=production	1	2147313	1
4	data12_8TeV	physics_L1MinBias	merge	AOD	T0	/atlas/role=production	7	6148413951	3
1	data12_8TeV	express_express	merge	NTUP_BTAGSLIM	GP	/atlas/perf-flavtag/role=production	33	34540928839	1
23	data12_8TeV	physics_MinBias	recon	ESD	AP	/atlas/role=production	989	951786249869	1
3	data12_8TeV	express_express	recon	TAG	AP	/atlas/role=production	766	4080403541	1
1	data12_8TeV	physics_Muons	recon	DESD_ZMUMU	GP	/atlas/role=production	375	532493116597	1
2	data12_8TeV	physics_MinBias	recon	TAG	AP	/atlas/role=production	1148	179659329	1
331	data12_8TeV	physics_Background	merge	TAG	T0	/atlas/role=production	1	42613300	6
902	data12_8TeV	debugrec_hltacc	merge	log	GP	/atlas/phys-top/role=production	1	11376722	1
564	data12_8TeV	physics_Egamma	merge	NTUP_2LHSG2	GP	/atlas/phys-higgs/role=production	23	76058015477	4
177	data12_8TeV	physics_ZeroBias	merge	TAG	T0	/atlas/role=production	1	9874588	6
95	data12_8TeV	calibration_PixelBeam	merge	AOD	T0	/atlas/role=production	69	341875107852	2
74	data12_8TeV	physics_Egamma	merge	DESD_SGLEL	T0	/atlas/role=production	56	196445537983	5
331	data12_8TeV	physics_Background	merge	AOD	T0	/atlas/role=production	20	12795688125	2
1117	data12_8TeV	physics_Egamma	merge	log	GP	/atlas/phys-sm/role=production	45	1858688359	1
465	data12_8TeV	physics_ZeroBias	merge	TAG	AP	/atlas/role=production	2	4992024	1
61	data12_8TeV	debugrec_hltacc	merge	NTUP_FASTMON	T0	/atlas/role=production	1	55664	1
165	data12_8TeV	physics_Standby	merge	TAG	T0	/atlas/role=production	1	13285252	1
174	data12_8TeV	physics_Background	merge	NTUP_BKGD	T0	/atlas/role=production	13	1724564314	2
94	data12_8TeV	express_express	merge	RAW	T0	/atlas/role=production	385	171194021722	2
96	data12_8TeV	calibration_SCTNoise	daq	RAW	T0	/atlas/role=production	58	2650106568	1
103	data12_8TeV	physics_JetTauEtmiss	merge	log	GP	/atlas/phys-higgs/role=production	199	15117498269	1
85	data12_8TeV	calibration_IDTracks	daq	RAW	T0	/atlas/role=production	445	107207092211	3
86	data12_8TeV	physics_Muons	merge	RAW	T0	/atlas/role=production	3430	2236571816975	2
2009	data12_8TeV	physics_MinBias	merge	log	AP	/atlas/role=production	11	6295967	1
